workerId,comment,answer_f,answer_m,race,age,gender,political
XL2hPsPW,96,0.65,,Asian,35,Male,Democrat
XL2hPsPW,8,0,,Asian,35,Male,Democrat
XL2hPsPW,67,0.2,,Asian,35,Male,Democrat
XL2hPsPW,33,0.93,,Asian,35,Male,Democrat
XL2hPsPW,43,0.95,,Asian,35,Male,Democrat
XL2hPsPW,91,0.15,,Asian,35,Male,Democrat
XL2hPsPW,89,0.1,,Asian,35,Male,Democrat
XL2hPsPW,34,0.65,,Asian,35,Male,Democrat
XL2hPsPW,61,0.1,,Asian,35,Male,Democrat
XL2hPsPW,42,0.95,,Asian,35,Male,Democrat
XL2hPsPW,1,0.05,,Asian,35,Male,Democrat
XL2hPsPW,117,0.83,,Asian,35,Male,Democrat
XL2hPsPW,110,0.2,,Asian,35,Male,Democrat
XL2hPsPW,81,0.87,,Asian,35,Male,Democrat
XL2hPsPW,111,0.68,,Asian,35,Male,Democrat
XL2hPsPW,94,0.03,,Asian,35,Male,Democrat
XL2hPsPW,78,0.69,,Asian,35,Male,Democrat
XL2hPsPW,79,0.2,,Asian,35,Male,Democrat
XL2hPsPW,15,0.55,,Asian,35,Male,Democrat
XL2hPsPW,100,0.09,,Asian,35,Male,Democrat
XL2hPsPW,80,0.87,,Asian,35,Male,Democrat
MrvgLFxn,52,1,,Black,31,Female,Independent
MrvgLFxn,49,0.99,,Black,31,Female,Independent
MrvgLFxn,50,0.97,,Black,31,Female,Independent
MrvgLFxn,62,0.04,,Black,31,Female,Independent
MrvgLFxn,54,0.88,,Black,31,Female,Independent
MrvgLFxn,55,0.98,,Black,31,Female,Independent
MrvgLFxn,11,0.75,,Black,31,Female,Independent
MrvgLFxn,0,0,,Black,31,Female,Independent
MrvgLFxn,69,0,,Black,31,Female,Independent
MrvgLFxn,15,0.14,,Black,31,Female,Independent
MrvgLFxn,102,0.77,,Black,31,Female,Independent
MrvgLFxn,24,0.87,,Black,31,Female,Independent
MrvgLFxn,80,0.24,,Black,31,Female,Independent
MrvgLFxn,53,0.97,,Black,31,Female,Independent
MrvgLFxn,46,0.99,,Black,31,Female,Independent
MrvgLFxn,116,0.97,,Black,31,Female,Independent
MrvgLFxn,82,0.46,,Black,31,Female,Independent
MrvgLFxn,38,0.87,,Black,31,Female,Independent
MrvgLFxn,110,0.47,,Black,31,Female,Independent
MrvgLFxn,79,0.03,,Black,31,Female,Independent
MrvgLFxn,96,0.04,,Black,31,Female,Independent
MrvgLFxn,84,0.05,,Black,31,Female,Independent
MrvgLFxn,71,0.03,,Black,31,Female,Independent
MrvgLFxn,32,0.25,,Black,31,Female,Independent
AM16iPN5,101,0.98,,Black,62,Female,Democrat
AM16iPN5,8,0,,Black,62,Female,Democrat
AM16iPN5,47,1,,Black,62,Female,Democrat
AM16iPN5,63,0.65,,Black,62,Female,Democrat
AM16iPN5,73,0.7,,Black,62,Female,Democrat
AM16iPN5,104,1,,Black,62,Female,Democrat
AM16iPN5,64,0,,Black,62,Female,Democrat
AM16iPN5,44,1,,Black,62,Female,Democrat
AM16iPN5,117,1,,Black,62,Female,Democrat
AM16iPN5,68,1,,Black,62,Female,Democrat
AM16iPN5,13,0.75,,Black,62,Female,Democrat
AM16iPN5,110,0.95,,Black,62,Female,Democrat
AM16iPN5,26,0.95,,Black,62,Female,Democrat
AM16iPN5,92,0.8,,Black,62,Female,Democrat
AM16iPN5,116,1,,Black,62,Female,Democrat
AM16iPN5,4,0,,Black,62,Female,Democrat
AM16iPN5,37,1,,Black,62,Female,Democrat
AM16iPN5,9,0,,Black,62,Female,Democrat
AM16iPN5,91,0.8,,Black,62,Female,Democrat
AM16iPN5,50,1,,Black,62,Female,Democrat
AM16iPN5,29,0.45,,Black,62,Female,Democrat
AM16iPN5,109,0.98,,Black,62,Female,Democrat
AM16iPN5,95,0.87,,Black,62,Female,Democrat
AM16iPN5,111,0.97,,Black,62,Female,Democrat
xHzcxUaV,33,0.25,,Asian,18,Male,Republican
xHzcxUaV,28,0.7,,Asian,18,Male,Republican
xHzcxUaV,100,0.8,,Asian,18,Male,Republican
xHzcxUaV,69,0.39,,Asian,18,Male,Republican
xHzcxUaV,19,0.29,,Asian,18,Male,Republican
xHzcxUaV,5,0,,Asian,18,Male,Republican
xHzcxUaV,36,0.5,,Asian,18,Male,Republican
xHzcxUaV,119,0.31,,Asian,18,Male,Republican
xHzcxUaV,46,0.7,,Asian,18,Male,Republican
xHzcxUaV,49,0.8,,Asian,18,Male,Republican
xHzcxUaV,84,0.15,,Asian,18,Male,Republican
xHzcxUaV,108,0.51,,Asian,18,Male,Republican
xHzcxUaV,80,0.29,,Asian,18,Male,Republican
xHzcxUaV,89,0.2,,Asian,18,Male,Republican
xHzcxUaV,62,0,,Asian,18,Male,Republican
xHzcxUaV,51,0.68,,Asian,18,Male,Republican
xHzcxUaV,109,0.7,,Asian,18,Male,Republican
xHzcxUaV,60,0,,Asian,18,Male,Republican
xHzcxUaV,58,0.58,,Asian,18,Male,Republican
xHzcxUaV,96,0.49,,Asian,18,Male,Republican
xHzcxUaV,38,0.29,,Asian,18,Male,Republican
xHzcxUaV,76,0.43,,Asian,18,Male,Republican
xHzcxUaV,68,0.27,,Asian,18,Male,Republican
xHzcxUaV,95,0.9,,Asian,18,Male,Republican
wiIXc1kL,30,0.8,,White,27,Female,Democrat
wiIXc1kL,97,0.1,,White,27,Female,Democrat
wiIXc1kL,84,0.02,,White,27,Female,Democrat
wiIXc1kL,27,0,,White,27,Female,Democrat
wiIXc1kL,47,0.99,,White,27,Female,Democrat
wiIXc1kL,90,0.18,,White,27,Female,Democrat
wiIXc1kL,112,0.09,,White,27,Female,Democrat
wiIXc1kL,109,0.24,,White,27,Female,Democrat
wiIXc1kL,54,0.9,,White,27,Female,Democrat
wiIXc1kL,71,0.02,,White,27,Female,Democrat
wiIXc1kL,92,0.59,,White,27,Female,Democrat
wiIXc1kL,32,0.8,,White,27,Female,Democrat
wiIXc1kL,113,0.42,,White,27,Female,Democrat
wiIXc1kL,83,0,,White,27,Female,Democrat
wiIXc1kL,64,0,,White,27,Female,Democrat
wiIXc1kL,17,0.43,,White,27,Female,Democrat
wiIXc1kL,106,0.04,,White,27,Female,Democrat
wiIXc1kL,8,0,,White,27,Female,Democrat
wiIXc1kL,50,0.88,,White,27,Female,Democrat
wiIXc1kL,56,1,,White,27,Female,Democrat
wiIXc1kL,78,0.01,,White,27,Female,Democrat
wiIXc1kL,53,0.97,,White,27,Female,Democrat
wiIXc1kL,20,0,,White,27,Female,Democrat
wiIXc1kL,96,0,,White,27,Female,Democrat
gAsoin9O,19,0.15,,White,51,Female,Republican
gAsoin9O,104,0.57,,White,51,Female,Republican
gAsoin9O,4,0,,White,51,Female,Republican
gAsoin9O,81,0.45,,White,51,Female,Republican
gAsoin9O,1,0,,White,51,Female,Republican
gAsoin9O,6,0,,White,51,Female,Republican
gAsoin9O,80,0.15,,White,51,Female,Republican
gAsoin9O,97,1,,White,51,Female,Republican
gAsoin9O,95,0.75,,White,51,Female,Republican
gAsoin9O,24,0.55,,White,51,Female,Republican
gAsoin9O,10,0.05,,White,51,Female,Republican
gAsoin9O,17,0.15,,White,51,Female,Republican
gAsoin9O,30,0.95,,White,51,Female,Republican
gAsoin9O,71,0.05,,White,51,Female,Republican
gAsoin9O,62,0,,White,51,Female,Republican
gAsoin9O,32,0.25,,White,51,Female,Republican
gAsoin9O,117,0.95,,White,51,Female,Republican
gAsoin9O,54,0.85,,White,51,Female,Republican
gAsoin9O,69,0.01,,White,51,Female,Republican
gAsoin9O,79,0.05,,White,51,Female,Republican
gAsoin9O,25,0.45,,White,51,Female,Republican
gAsoin9O,37,0.75,,White,51,Female,Republican
gAsoin9O,99,0.05,,White,51,Female,Republican
gAsoin9O,22,0.05,,White,51,Female,Republican
aq6fgXof,108,0.25,,White,28,Male,Independent
aq6fgXof,51,0.95,,White,28,Male,Independent
aq6fgXof,35,0.98,,White,28,Male,Independent
aq6fgXof,83,0.05,,White,28,Male,Independent
aq6fgXof,44,0.95,,White,28,Male,Independent
aq6fgXof,91,0,,White,28,Male,Independent
aq6fgXof,79,0.05,,White,28,Male,Independent
aq6fgXof,99,0.1,,White,28,Male,Independent
aq6fgXof,112,0.4,,White,28,Male,Independent
aq6fgXof,85,0,,White,28,Male,Independent
aq6fgXof,90,0.1,,White,28,Male,Independent
aq6fgXof,10,0.9,,White,28,Male,Independent
aq6fgXof,106,0.2,,White,28,Male,Independent
aq6fgXof,94,0.15,,White,28,Male,Independent
aq6fgXof,70,0,,White,28,Male,Independent
aq6fgXof,95,0.11,,White,28,Male,Independent
aq6fgXof,30,0.95,,White,28,Male,Independent
aq6fgXof,11,0.95,,White,28,Male,Independent
aq6fgXof,63,0.1,,White,28,Male,Independent
aq6fgXof,105,0.1,,White,28,Male,Independent
aq6fgXof,100,0.15,,White,28,Male,Independent
aq6fgXof,52,0.91,,White,28,Male,Independent
aq6fgXof,39,0.65,,White,28,Male,Independent
aq6fgXof,2,0,,White,28,Male,Independent
4KNpSWgv,98,0.19,,White,35,Female,Democrat
4KNpSWgv,3,0.02,,White,35,Female,Democrat
4KNpSWgv,41,0.47,,White,35,Female,Democrat
4KNpSWgv,24,0.22,,White,35,Female,Democrat
4KNpSWgv,76,0.13,,White,35,Female,Democrat
4KNpSWgv,86,0.27,,White,35,Female,Democrat
4KNpSWgv,30,0.8,,White,35,Female,Democrat
4KNpSWgv,108,0.32,,White,35,Female,Democrat
4KNpSWgv,42,0.9,,White,35,Female,Democrat
4KNpSWgv,52,0.97,,White,35,Female,Democrat
4KNpSWgv,26,0.08,,White,35,Female,Democrat
4KNpSWgv,60,0,,White,35,Female,Democrat
4KNpSWgv,53,1,,White,35,Female,Democrat
4KNpSWgv,13,0.13,,White,35,Female,Democrat
4KNpSWgv,114,0.41,,White,35,Female,Democrat
4KNpSWgv,32,0.23,,White,35,Female,Democrat
4KNpSWgv,0,0,,White,35,Female,Democrat
4KNpSWgv,80,0.09,,White,35,Female,Democrat
4KNpSWgv,84,0.02,,White,35,Female,Democrat
4KNpSWgv,74,0.05,,White,35,Female,Democrat
4KNpSWgv,18,0,,White,35,Female,Democrat
4KNpSWgv,116,1,,White,35,Female,Democrat
4KNpSWgv,62,0,,White,35,Female,Democrat
4KNpSWgv,34,0.99,,White,35,Female,Democrat
Qmn8MRja,11,0.55,,White,24,Female,Independent
Qmn8MRja,114,0.8,,White,24,Female,Independent
Qmn8MRja,90,0.38,,White,24,Female,Independent
Qmn8MRja,64,0.12,,White,24,Female,Independent
Qmn8MRja,15,0.49,,White,24,Female,Independent
Qmn8MRja,31,0.97,,White,24,Female,Independent
Qmn8MRja,0,0.08,,White,24,Female,Independent
Qmn8MRja,113,0.69,,White,24,Female,Independent
Qmn8MRja,70,0.37,,White,24,Female,Independent
Qmn8MRja,71,0.05,,White,24,Female,Independent
Qmn8MRja,91,0.69,,White,24,Female,Independent
Qmn8MRja,40,1,,White,24,Female,Independent
Qmn8MRja,24,0.89,,White,24,Female,Independent
Qmn8MRja,53,0.99,,White,24,Female,Independent
Qmn8MRja,86,0.5,,White,24,Female,Independent
Qmn8MRja,116,1,,White,24,Female,Independent
Qmn8MRja,111,0.89,,White,24,Female,Independent
Qmn8MRja,76,0.9,,White,24,Female,Independent
Qmn8MRja,39,0.78,,White,24,Female,Independent
Qmn8MRja,118,1,,White,24,Female,Independent
Qmn8MRja,80,0.49,,White,24,Female,Independent
Qmn8MRja,25,0.79,,White,24,Female,Independent
Qmn8MRja,32,0.79,,White,24,Female,Independent
Qmn8MRja,49,0.99,,White,24,Female,Independent
CfIP4aAh,39,0.51,,White,34,Male,Independent
CfIP4aAh,107,0.27,,White,34,Male,Independent
CfIP4aAh,71,0,,White,34,Male,Independent
CfIP4aAh,115,0.28,,White,34,Male,Independent
CfIP4aAh,64,0.2,,White,34,Male,Independent
CfIP4aAh,47,0.9,,White,34,Male,Independent
CfIP4aAh,29,0.21,,White,34,Male,Independent
CfIP4aAh,20,0.06,,White,34,Male,Independent
CfIP4aAh,59,0.33,,White,34,Male,Independent
CfIP4aAh,18,0.03,,White,34,Male,Independent
CfIP4aAh,72,0.03,,White,34,Male,Independent
CfIP4aAh,103,0.04,,White,34,Male,Independent
CfIP4aAh,69,0.06,,White,34,Male,Independent
CfIP4aAh,108,0.13,,White,34,Male,Independent
CfIP4aAh,48,0.49,,White,34,Male,Independent
CfIP4aAh,57,0.9,,White,34,Male,Independent
CfIP4aAh,14,0.16,,White,34,Male,Independent
CfIP4aAh,34,0.7,,White,34,Male,Independent
CfIP4aAh,83,0.08,,White,34,Male,Independent
CfIP4aAh,105,0.07,,White,34,Male,Independent
CfIP4aAh,49,0.78,,White,34,Male,Independent
CfIP4aAh,3,0.14,,White,34,Male,Independent
CfIP4aAh,40,0.83,,White,34,Male,Independent
CfIP4aAh,74,0.02,,White,34,Male,Independent
ch4jbfgP,38,0.79,,White,43,Female,Independent
ch4jbfgP,49,0.81,,White,43,Female,Independent
ch4jbfgP,111,0.71,,White,43,Female,Independent
ch4jbfgP,23,0.7,,White,43,Female,Independent
ch4jbfgP,105,0.05,,White,43,Female,Independent
ch4jbfgP,112,0.43,,White,43,Female,Independent
ch4jbfgP,97,0.95,,White,43,Female,Independent
ch4jbfgP,96,0.31,,White,43,Female,Independent
ch4jbfgP,24,0.8,,White,43,Female,Independent
ch4jbfgP,118,0.85,,White,43,Female,Independent
ch4jbfgP,1,0.2,,White,43,Female,Independent
ch4jbfgP,62,0.01,,White,43,Female,Independent
ch4jbfgP,95,0.05,,White,43,Female,Independent
ch4jbfgP,109,0.7,,White,43,Female,Independent
ch4jbfgP,110,0.5,,White,43,Female,Independent
ch4jbfgP,34,0.8,,White,43,Female,Independent
ch4jbfgP,74,0.21,,White,43,Female,Independent
ch4jbfgP,0,0.02,,White,43,Female,Independent
ch4jbfgP,102,0.1,,White,43,Female,Independent
ch4jbfgP,30,0.65,,White,43,Female,Independent
ch4jbfgP,54,0.99,,White,43,Female,Independent
ch4jbfgP,39,0.89,,White,43,Female,Independent
ch4jbfgP,115,0.25,,White,43,Female,Independent
ch4jbfgP,113,0.95,,White,43,Female,Independent
tVaSZDDx,99,0.46,,White,53,Male,Republican
tVaSZDDx,7,0,,White,53,Male,Republican
tVaSZDDx,8,0.04,,White,53,Male,Republican
tVaSZDDx,117,0.63,,White,53,Male,Republican
tVaSZDDx,78,0.11,,White,53,Male,Republican
tVaSZDDx,87,0.52,,White,53,Male,Republican
tVaSZDDx,43,0.86,,White,53,Male,Republican
tVaSZDDx,75,0.53,,White,53,Male,Republican
tVaSZDDx,67,0.05,,White,53,Male,Republican
tVaSZDDx,66,0.03,,White,53,Male,Republican
tVaSZDDx,95,0.55,,White,53,Male,Republican
tVaSZDDx,24,0.64,,White,53,Male,Republican
tVaSZDDx,112,0.65,,White,53,Male,Republican
tVaSZDDx,34,0.88,,White,53,Male,Republican
tVaSZDDx,56,0.8,,White,53,Male,Republican
tVaSZDDx,49,0.86,,White,53,Male,Republican
tVaSZDDx,36,0.95,,White,53,Male,Republican
tVaSZDDx,41,0.87,,White,53,Male,Republican
tVaSZDDx,69,0,,White,53,Male,Republican
tVaSZDDx,39,0.9,,White,53,Male,Republican
tVaSZDDx,58,0.87,,White,53,Male,Republican
tVaSZDDx,63,0.55,,White,53,Male,Republican
tVaSZDDx,94,0.14,,White,53,Male,Republican
tVaSZDDx,53,0.95,,White,53,Male,Republican
lSDP9wt7,71,0,,Black,35,Male,Democrat
lSDP9wt7,63,0,,Black,35,Male,Democrat
lSDP9wt7,61,0,,Black,35,Male,Democrat
lSDP9wt7,67,0,,Black,35,Male,Democrat
lSDP9wt7,90,0.01,,Black,35,Male,Democrat
lSDP9wt7,86,0.9,,Black,35,Male,Democrat
lSDP9wt7,8,0,,Black,35,Male,Democrat
lSDP9wt7,101,1,,Black,35,Male,Democrat
lSDP9wt7,16,0,,Black,35,Male,Democrat
lSDP9wt7,46,1,,Black,35,Male,Democrat
lSDP9wt7,28,0,,Black,35,Male,Democrat
lSDP9wt7,116,0.99,,Black,35,Male,Democrat
lSDP9wt7,7,0.5,,Black,35,Male,Democrat
lSDP9wt7,36,0.03,,Black,35,Male,Democrat
lSDP9wt7,119,0.96,,Black,35,Male,Democrat
lSDP9wt7,30,0.99,,Black,35,Male,Democrat
lSDP9wt7,115,0.94,,Black,35,Male,Democrat
lSDP9wt7,55,1,,Black,35,Male,Democrat
lSDP9wt7,59,1,,Black,35,Male,Democrat
lSDP9wt7,104,0.53,,Black,35,Male,Democrat
lSDP9wt7,54,0.98,,Black,35,Male,Democrat
lSDP9wt7,103,0,,Black,35,Male,Democrat
lSDP9wt7,37,0.99,,Black,35,Male,Democrat
lSDP9wt7,77,0.01,,Black,35,Male,Democrat
0JldJq3I,15,0.05,,White,36,Female,Democrat
0JldJq3I,69,0.55,,White,36,Female,Democrat
0JldJq3I,1,0.05,,White,36,Female,Democrat
0JldJq3I,111,0.05,,White,36,Female,Democrat
0JldJq3I,8,0.05,,White,36,Female,Democrat
0JldJq3I,62,0.05,,White,36,Female,Democrat
0JldJq3I,78,0.55,,White,36,Female,Democrat
0JldJq3I,10,0.85,,White,36,Female,Democrat
0JldJq3I,85,0.05,,White,36,Female,Democrat
0JldJq3I,60,0,,White,36,Female,Democrat
0JldJq3I,30,0.95,,White,36,Female,Democrat
0JldJq3I,95,0.15,,White,36,Female,Democrat
0JldJq3I,6,0.05,,White,36,Female,Democrat
0JldJq3I,19,0.15,,White,36,Female,Democrat
0JldJq3I,81,0.05,,White,36,Female,Democrat
0JldJq3I,27,0.45,,White,36,Female,Democrat
0JldJq3I,44,0.95,,White,36,Female,Democrat
0JldJq3I,51,0.95,,White,36,Female,Democrat
0JldJq3I,97,0.65,,White,36,Female,Democrat
0JldJq3I,52,0.95,,White,36,Female,Democrat
0JldJq3I,80,0.05,,White,36,Female,Democrat
0JldJq3I,34,0.95,,White,36,Female,Democrat
0JldJq3I,79,0.05,,White,36,Female,Democrat
0JldJq3I,23,0.85,,White,36,Female,Democrat
FJWhrsnX,66,0.05,,Black,33,Male,Independent
FJWhrsnX,41,0.95,,Black,33,Male,Independent
FJWhrsnX,28,0.95,,Black,33,Male,Independent
FJWhrsnX,0,0,,Black,33,Male,Independent
FJWhrsnX,114,0,,Black,33,Male,Independent
FJWhrsnX,14,0,,Black,33,Male,Independent
FJWhrsnX,73,0.05,,Black,33,Male,Independent
FJWhrsnX,102,0.35,,Black,33,Male,Independent
FJWhrsnX,6,0,,Black,33,Male,Independent
FJWhrsnX,78,0.15,,Black,33,Male,Independent
FJWhrsnX,75,0.45,,Black,33,Male,Independent
FJWhrsnX,87,0.25,,Black,33,Male,Independent
FJWhrsnX,106,0.55,,Black,33,Male,Independent
FJWhrsnX,2,0,,Black,33,Male,Independent
FJWhrsnX,84,0.35,,Black,33,Male,Independent
FJWhrsnX,49,0.55,,Black,33,Male,Independent
FJWhrsnX,56,0.55,,Black,33,Male,Independent
FJWhrsnX,22,0.35,,Black,33,Male,Independent
FJWhrsnX,92,0.55,,Black,33,Male,Independent
FJWhrsnX,40,0.55,,Black,33,Male,Independent
FJWhrsnX,37,0.85,,Black,33,Male,Independent
FJWhrsnX,55,0.95,,Black,33,Male,Independent
FJWhrsnX,60,0,,Black,33,Male,Independent
FJWhrsnX,63,0,,Black,33,Male,Independent
qTUIrTM6,33,0.7,,White,47,Male,Independent
qTUIrTM6,112,0.11,,White,47,Male,Independent
qTUIrTM6,86,0.3,,White,47,Male,Independent
qTUIrTM6,24,0.3,,White,47,Male,Independent
qTUIrTM6,65,0,,White,47,Male,Independent
qTUIrTM6,91,0.01,,White,47,Male,Independent
qTUIrTM6,35,0.99,,White,47,Male,Independent
qTUIrTM6,6,0,,White,47,Male,Independent
qTUIrTM6,104,0.37,,White,47,Male,Independent
qTUIrTM6,90,0.21,,White,47,Male,Independent
qTUIrTM6,14,0.01,,White,47,Male,Independent
qTUIrTM6,76,0.17,,White,47,Male,Independent
qTUIrTM6,82,0.21,,White,47,Male,Independent
qTUIrTM6,102,0.7,,White,47,Male,Independent
qTUIrTM6,111,0.41,,White,47,Male,Independent
qTUIrTM6,20,0.11,,White,47,Male,Independent
qTUIrTM6,61,0.1,,White,47,Male,Independent
qTUIrTM6,72,0,,White,47,Male,Independent
qTUIrTM6,4,0,,White,47,Male,Independent
qTUIrTM6,109,0.16,,White,47,Male,Independent
qTUIrTM6,103,0.01,,White,47,Male,Independent
qTUIrTM6,34,1,,White,47,Male,Independent
qTUIrTM6,66,0.04,,White,47,Male,Independent
qTUIrTM6,73,0.01,,White,47,Male,Independent
EAzVolqw,83,0.85,,American,29,Male,Democrat
EAzVolqw,6,0.51,,American,29,Male,Democrat
EAzVolqw,99,0.85,,American,29,Male,Democrat
EAzVolqw,75,0.85,,American,29,Male,Democrat
EAzVolqw,18,0.16,,American,29,Male,Democrat
EAzVolqw,31,0.95,,American,29,Male,Democrat
EAzVolqw,25,0.17,,American,29,Male,Democrat
EAzVolqw,118,0.95,,American,29,Male,Democrat
EAzVolqw,39,0.65,,American,29,Male,Democrat
EAzVolqw,98,0.15,,American,29,Male,Democrat
EAzVolqw,47,0.85,,American,29,Male,Democrat
EAzVolqw,37,0.95,,American,29,Male,Democrat
EAzVolqw,17,0.15,,American,29,Male,Democrat
EAzVolqw,34,0.85,,American,29,Male,Democrat
EAzVolqw,102,0.75,,American,29,Male,Democrat
EAzVolqw,11,0.95,,American,29,Male,Democrat
EAzVolqw,1,0.15,,American,29,Male,Democrat
EAzVolqw,30,0.98,,American,29,Male,Democrat
EAzVolqw,35,0.85,,American,29,Male,Democrat
EAzVolqw,62,0.15,,American,29,Male,Democrat
EAzVolqw,93,0.85,,American,29,Male,Democrat
EAzVolqw,59,0.95,,American,29,Male,Democrat
EAzVolqw,74,0.55,,American,29,Male,Democrat
EAzVolqw,12,0.65,,American,29,Male,Democrat
RMzIwDP6,81,0.32,,White,28,Male,Republican
RMzIwDP6,29,0.17,,White,28,Male,Republican
RMzIwDP6,73,0.08,,White,28,Male,Republican
RMzIwDP6,35,0.9,,White,28,Male,Republican
RMzIwDP6,117,0.99,,White,28,Male,Republican
RMzIwDP6,39,0.49,,White,28,Male,Republican
RMzIwDP6,69,0.05,,White,28,Male,Republican
RMzIwDP6,40,0.98,,White,28,Male,Republican
RMzIwDP6,25,0.71,,White,28,Male,Republican
RMzIwDP6,3,0.69,,White,28,Male,Republican
RMzIwDP6,6,0,,White,28,Male,Republican
RMzIwDP6,51,0.98,,White,28,Male,Republican
RMzIwDP6,76,0.48,,White,28,Male,Republican
RMzIwDP6,50,0.97,,White,28,Male,Republican
RMzIwDP6,45,0.98,,White,28,Male,Republican
RMzIwDP6,101,0.97,,White,28,Male,Republican
RMzIwDP6,65,0.05,,White,28,Male,Republican
RMzIwDP6,83,0.71,,White,28,Male,Republican
RMzIwDP6,27,0.17,,White,28,Male,Republican
RMzIwDP6,10,0.15,,White,28,Male,Republican
RMzIwDP6,88,0.86,,White,28,Male,Republican
RMzIwDP6,18,0.09,,White,28,Male,Republican
RMzIwDP6,87,0.68,,White,28,Male,Republican
RMzIwDP6,1,0,,White,28,Male,Republican
qRx0Nmc3,66,0,,Asian,30,Male,Republican
qRx0Nmc3,54,1,,Asian,30,Male,Republican
qRx0Nmc3,83,0.15,,Asian,30,Male,Republican
qRx0Nmc3,85,0.05,,Asian,30,Male,Republican
qRx0Nmc3,69,0.85,,Asian,30,Male,Republican
qRx0Nmc3,93,0.55,,Asian,30,Male,Republican
qRx0Nmc3,88,0.35,,Asian,30,Male,Republican
